user_id,session_id,event_id,event_table_name,time,event_date,event_rank
1001,5001,e1001,page_view,2023-05-01 08:15:23,2023-05-01,1
1001,5001,e1002,search,2023-05-01 08:16:45,2023-05-01,2
1001,5001,e1003,product_view,2023-05-01 08:18:12,2023-05-01,3
1001,5001,e1004,add_to_cart,2023-05-01 08:20:30,2023-05-01,4
1001,5001,e1005,checkout,2023-05-01 08:25:18,2023-05-01,5
1001,5001,e1006,purchase,2023-05-01 08:28:45,2023-05-01,6
1001,5013,e1007,page_view,2023-05-03 08:15:23,2023-05-03,1
1001,5013,e1008,search,2023-05-03 08:16:45,2023-05-03,2
1001,5013,e1009,product_view,2023-05-03 08:18:12,2023-05-03,3
1001,5013,e1010,add_to_cart,2023-05-03 08:20:30,2023-05-03,4
1001,5013,e1011,checkout,2023-05-03 08:25:18,2023-05-03,5
1001,5013,e1012,purchase,2023-05-03 08:28:45,2023-05-03,6
1002,5002,e2001,page_view,2023-05-01 09:05:10,2023-05-01,1
1002,5002,e2002,search,2023-05-01 09:07:22,2023-05-01,2
1002,5002,e2003,product_view,2023-05-01 09:10:15,2023-05-01,3
1002,5002,e2004,add_to_cart,2023-05-01 09:12:30,2023-05-01,4
1002,5002,e2005,checkout,2023-05-01 09:15:45,2023-05-01,5
1002,5003,e2006,page_view,2023-05-01 14:30:10,2023-05-01,1
1002,5003,e2007,search,2023-05-01 14:32:22,2023-05-01,2
1002,5003,e2008,product_view,2023-05-01 14:35:15,2023-05-01,3
1002,5014,e2009,page_view,2023-05-03 09:05:10,2023-05-03,1
1002,5014,e2010,search,2023-05-03 09:07:22,2023-05-03,2
1002,5014,e2011,exit,2023-05-03 09:10:15,2023-05-03,3
1003,5004,e3001,page_view,2023-05-01 10:15:23,2023-05-01,1
1003,5004,e3002,search,2023-05-01 10:17:45,2023-05-01,2
1003,5004,e3003,product_view,2023-05-01 10:20:12,2023-05-01,3
1003,5004,e3004,add_to_cart,2023-05-01 10:22:30,2023-05-01,4
1003,5004,e3005,checkout,2023-05-01 10:25:18,2023-05-01,5
1003,5004,e3006,purchase,2023-05-01 10:28:45,2023-05-01,6
1003,5015,e3007,page_view,2023-05-03 10:15:23,2023-05-03,1
1003,5015,e3008,search,2023-05-03 10:17:45,2023-05-03,2
1003,5015,e3009,product_view,2023-05-03 10:20:12,2023-05-03,3
1003,5015,e3010,add_to_cart,2023-05-03 10:22:30,2023-05-03,4
1003,5015,e3011,checkout,2023-05-03 10:25:18,2023-05-03,5
1003,5015,e3012,purchase,2023-05-03 10:28:45,2023-05-03,6
1004,5005,e4001,page_view,2023-05-01 11:05:10,2023-05-01,1
1004,5005,e4002,search,2023-05-01 11:07:22,2023-05-01,2
1004,5005,e4003,product_view,2023-05-01 11:10:15,2023-05-01,3
1004,5005,e4004,add_to_cart,2023-05-01 11:12:30,2023-05-01,4
1004,5006,e4005,page_view,2023-05-01 15:30:10,2023-05-01,1
1004,5006,e4006,search,2023-05-01 15:32:22,2023-05-01,2
1004,5006,e4007,exit,2023-05-01 15:35:15,2023-05-01,3
1004,5016,e4008,page_view,2023-05-03 11:05:10,2023-05-03,1
1004,5016,e4009,search,2023-05-03 11:07:22,2023-05-03,2
1004,5016,e4010,product_view,2023-05-03 11:10:15,2023-05-03,3
1004,5016,e4011,add_to_cart,2023-05-03 11:12:30,2023-05-03,4
1004,5016,e4012,checkout,2023-05-03 11:15:45,2023-05-03,5
1004,5016,e4013,purchase,2023-05-03 11:18:20,2023-05-03,6
1005,5007,e5001,page_view,2023-05-01 12:15:23,2023-05-01,1
1005,5007,e5002,search,2023-05-01 12:17:45,2023-05-01,2
1005,5007,e5003,product_view,2023-05-01 12:20:12,2023-05-01,3
1005,5007,e5004,add_to_cart,2023-05-01 12:22:30,2023-05-01,4
1005,5007,e5005,checkout,2023-05-01 12:25:18,2023-05-01,5
1005,5007,e5006,purchase,2023-05-01 12:28:45,2023-05-01,6
1005,5017,e5007,page_view,2023-05-03 12:15:23,2023-05-03,1
1005,5017,e5008,search,2023-05-03 12:17:45,2023-05-03,2
1005,5017,e5009,product_view,2023-05-03 12:20:12,2023-05-03,3
1005,5017,e5010,add_to_cart,2023-05-03 12:22:30,2023-05-03,4
1005,5017,e5011,exit,2023-05-03 12:25:18,2023-05-03,5
1006,5008,e6001,page_view,2023-05-02 09:05:10,2023-05-02,1
1006,5008,e6002,search,2023-05-02 09:07:22,2023-05-02,2
1006,5008,e6003,exit,2023-05-02 09:10:15,2023-05-02,3
1006,5018,e6004,page_view,2023-05-03 13:05:10,2023-05-03,1
1006,5018,e6005,search,2023-05-03 13:07:22,2023-05-03,2
1006,5018,e6006,product_view,2023-05-03 13:10:15,2023-05-03,3
1006,5018,e6007,add_to_cart,2023-05-03 13:12:30,2023-05-03,4
1006,5018,e6008,checkout,2023-05-03 13:15:45,2023-05-03,5
1006,5018,e6009,purchase,2023-05-03 13:18:20,2023-05-03,6
1007,5009,e7001,page_view,2023-05-02 10:15:23,2023-05-02,1
1007,5009,e7002,search,2023-05-02 10:17:45,2023-05-02,2
1007,5009,e7003,product_view,2023-05-02 10:20:12,2023-05-02,3
1007,5009,e7004,add_to_cart,2023-05-02 10:22:30,2023-05-02,4
1007,5009,e7005,checkout,2023-05-02 10:25:18,2023-05-02,5
1007,5009,e7006,purchase,2023-05-02 10:28:45,2023-05-02,6
1007,5019,e7007,page_view,2023-05-04 10:15:23,2023-05-04,1
1007,5019,e7008,search,2023-05-04 10:17:45,2023-05-04,2
1007,5019,e7009,product_view,2023-05-04 10:20:12,2023-05-04,3
1007,5019,e7010,add_to_cart,2023-05-04 10:22:30,2023-05-04,4
1007,5019,e7011,checkout,2023-05-04 10:25:18,2023-05-04,5
1007,5019,e7012,purchase,2023-05-04 10:28:45,2023-05-04,6
1008,5010,e8001,page_view,2023-05-02 11:05:10,2023-05-02,1
1008,5010,e8002,search,2023-05-02 11:07:22,2023-05-02,2
1008,5010,e8003,product_view,2023-05-02 11:10:15,2023-05-02,3
1008,5010,e8004,add_to_cart,2023-05-02 11:12:30,2023-05-02,4
1008,5010,e8005,checkout,2023-05-02 11:15:45,2023-05-02,5
1008,5010,e8006,purchase,2023-05-02 11:18:20,2023-05-02,6
1008,5020,e8007,page_view,2023-05-04 11:05:10,2023-05-04,1
1008,5020,e8008,search,2023-05-04 11:07:22,2023-05-04,2
1008,5020,e8009,exit,2023-05-04 11:10:15,2023-05-04,3
1009,5011,e9001,page_view,2023-05-02 12:15:23,2023-05-02,1
1009,5011,e9002,search,2023-05-02 12:17:45,2023-05-02,2
1009,5011,e9003,product_view,2023-05-02 12:20:12,2023-05-02,3
1009,5011,e9004,exit,2023-05-02 12:22:30,2023-05-02,4
1010,5012,e10001,page_view,2023-05-02 13:05:10,2023-05-02,1
1010,5012,e10002,search,2023-05-02 13:07:22,2023-05-02,2
1010,5012,e10003,product_view,2023-05-02 13:10:15,2023-05-02,3
1010,5012,e10004,add_to_cart,2023-05-02 13:12:30,2023-05-02,4
1010,5012,e10005,checkout,2023-05-02 13:15:45,2023-05-02,5
1010,5012,e10006,purchase,2023-05-02 13:18:20,2023-05-02,6
